#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 20 15 120  1.0 99.0 99.00 99.00 99.00 999 9999.0  11.2   5.2   4.9 99.0 99.00
2023 01 02 20 45 130  1.5 99.0 99.00 99.00 99.00 999 9999.0  11.3   5.2   5.0 99.0 99.00
2023 01 02 21 15 180  1.0 99.0 99.00 99.00 99.00 999 9999.0   9.8   5.1   5.1 99.0 99.00
2023 01 02 21 45 180  2.6 99.0 99.00 99.00 99.00 999 9999.0  10.3   5.0   5.4 99.0 99.00
2023 01 02 22 15 190  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.6   5.0   5.2 99.0 99.00
2023 01 02 22 45 170  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.3   5.0   5.2 99.0 99.00
2023 01 02 23 15 170  1.0 99.0 99.00 99.00 99.00 999 9999.0   9.0   5.0   5.1 99.0 99.00
2023 01 02 23 45   0  0.0 99.0 99.00 99.00 99.00 999 9999.0   9.5   5.0   5.3 99.0 99.00
2023 01 03 00 15 320  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.2   5.1   5.0 99.0 99.00
2023 01 03 00 45 250  1.0 99.0 99.00 99.00 99.00 999 9999.0   9.4   5.1   5.7 99.0 99.00
2023 01 03 01 15  30  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.2   5.0   4.7 99.0 99.00
2023 01 03 01 45  30  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.6   5.0   4.9 99.0 99.00
2023 01 03 02 15  60  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   5.0   4.6 99.0 99.00
2023 01 03 02 45  70  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.0   4.6 99.0 99.00
2023 01 03 03 15  80  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.9   5.0   4.7 99.0 99.00
2023 01 03 03 45  50  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.8   4.9   4.7 99.0 99.00
2023 01 03 04 15  60  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.6   4.9   4.7 99.0 99.00
2023 01 03 04 45  50  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.5   4.9   4.7 99.0 99.00
2023 01 03 05 15  90  0.5 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.1   4.7 99.0 99.00
2023 01 03 05 45  40  2.6 99.0 99.00 99.00 99.00 999 9999.0   6.2   5.0   4.6 99.0 99.00
2023 01 03 06 15  50  2.6 99.0 99.00 99.00 99.00 999 9999.0   6.1   4.9   4.5 99.0 99.00
2023 01 03 06 45  40  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.1   4.6 99.0 99.00
2023 01 03 07 15  50  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.1   4.5 99.0 99.00
2023 01 03 07 45  60  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.2   5.1   4.5 99.0 99.00
2023 01 03 08 15  60  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.1   5.2   4.5 99.0 99.00
2023 01 03 08 45  70  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.2   4.5 99.0 99.00
2023 01 03 09 15  40  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.1   4.5 99.0 99.00
2023 01 03 09 45  40  4.1 99.0 99.00 99.00 99.00 999 9999.0   5.9   5.1   4.5 99.0 99.00
2023 01 03 10 15  50  4.1 99.0 99.00 99.00 99.00 999 9999.0   5.9   5.1   4.5 99.0 99.00
